Time, Position, Rotation
11:40:22:939,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:23:938,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:24:943,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:25:948,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:26:951,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:27:955,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:28:959,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:29:963,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:30:964,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:31:966,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:32:971,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:33:975,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:34:978,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:35:98,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:36:982,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:37:986,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:38:99,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:39:991,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:40:994,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:41:999,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:43:,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:44:002,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:45:007,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:46:012,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:40:47:017,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
