Time, Position, Rotation
12:46:24:489,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:25:489,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:26:491,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:27:494,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:28:497,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:29:502,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:30:508,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:31:511,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:32:515,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:33:519,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:34:523,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:35:527,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:36:529,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:37:534,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:38:534,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:39:535,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:40:536,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:41:537,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:42:539,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:43:541,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:44:543,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:45:544,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:46:545,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:47:604,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:48:606,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:49:607,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:50:612,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:51:618,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:52:623,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:53:628,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:54:634,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:55:64,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:56:642,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:57:644,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:58:647,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:46:59:651,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:00:655,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:01:658,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:02:658,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:03:66,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:04:664,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:05:667,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:06:67,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:07:676,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:08:678,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:09:681,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:10:687,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:11:692,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:12:696,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:13:7,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:14:7,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:15:706,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:16:711,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:17:712,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:18:72,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:19:721,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:20:723,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:21:729,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:22:73,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:23:734,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:24:737,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:25:739,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:26:857,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:28:068,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:29:072,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:30:075,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:31:079,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:32:08,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:33:084,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:34:084,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:35:085,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:36:089,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:37:092,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:38:096,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:39:098,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:40:098,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
12:47:41:099,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
