
xd momentok mood,ok mood,ok mood,ok mood,ok mood,ok mood,ok mood,3820
ok mood,28.832s
ok mood,28.832s
152,20.847s
152,13.084s
152,13.084s
152,10.141s
152,10.141s
152,2.644s
152,2.644s
152,5.506s, CONFRONT
152,7.649s,CONFRONT
152,7.649s,CONFRONT
152,1.287s,EXIT
152,1.287s,EXIT
152,2.933s,CONFRONT
15,6.674s,EXIT
15,3.166s,CONFRONT
15,3.037s,CONFRONT
15,0.513s,CONFRONT
15,3.921s,CONFRONT
15,0.283s,CONFRONT
15,0.317s,CONFRONT
15,4.532s,EXIT
15,0.346s,EXIT
15,2.743s,CONFRONT
15,0s,CONFRONT
1515151,2.754s,EXIT
sd,1.833s,CONFRONT
sd,4.653s,SAID SOMETHING
sd,3.535s,DID NOTHING
sd,0s,DID NOTHING
sd,0s,DID NOTHING
sd,2.076s,DID NOTHING
sd,0s,SAID SOMETHING
sd,33.243s,SAID SOMETHING
sd,0s,SAID SOMETHING
sd,0.778s,SAID SOMETHING
